"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Prince Edward Island","2016A000211","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304072","3.3.3","31.5","","","","1"
"2012","Prince Edward Island","2016A000211","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304073","3.3.4","6.2","","","","1"
"2012","Nova Scotia","2016A000212","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304074","4.1.1","40.3","","","","1"
"2012","Nova Scotia","2016A000212","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304075","4.1.2","36.5","","","","1"
"2012","Nova Scotia","2016A000212","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304076","4.1.3","16.1","","","","1"
"2012","Nova Scotia","2016A000212","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304077","4.1.4","9.5","","","","1"
"2012","Nova Scotia","2016A000212","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304078","4.2.1","46.9","","","","1"
"2012","Nova Scotia","2016A000212","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304079","4.2.2","49.3","","","","1"
"2012","Nova Scotia","2016A000212","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304080","4.2.3","13.9","","","","1"
"2012","Nova Scotia","2016A000212","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304081","4.2.4","-5.0","","","","1"
"2012","Nova Scotia","2016A000212","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304082","4.3.1","368.8","","","","1"
"2012","Nova Scotia","2016A000212","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304083","4.3.2","323.8","","","","1"
"2012","Nova Scotia","2016A000212","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304084","4.3.3","171.3","","","","1"
"2012","Nova Scotia","2016A000212","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304085","4.3.4","12.2","","","","1"
"2012","New Brunswick","2016A000213","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304086","5.1.1","32.3","","","","1"
"2012","New Brunswick","2016A000213","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304087","5.1.2","32.4","","","","1"
"2012","New Brunswick","2016A000213","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304088","5.1.3","15.6","","","","1"
"2012","New Brunswick","2016A000213","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304089","5.1.4","-0.3","","","","1"
"2012","New Brunswick","2016A000213","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304090","5.2.1","93.3","","","","1"
"2012","New Brunswick","2016A000213","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304091","5.2.2","90.1","","","","1"
"2012","New Brunswick","2016A000213","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304092","5.2.3","48.9","","","","1"
"2012","New Brunswick","2016A000213","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304093","5.2.4","3.4","","","","1"
"2012","New Brunswick","2016A000213","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304094","5.3.1","263.7","","","","1"
"2012","New Brunswick","2016A000213","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304095","5.3.2","235.1","","","","1"
"2012","New Brunswick","2016A000213","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304096","5.3.3","132.3","","","","1"
"2012","New Brunswick","2016A000213","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304097","5.3.4","10.9","","","","1"
"2012","Quebec","2016A000224","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304098","6.1.1","1751.9","","","","1"
"2012","Quebec","2016A000224","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304099","6.1.2","1566.0","","","","1"
"2012","Quebec","2016A000224","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304100","6.1.3","835.6","","","","1"
"2012","Quebec","2016A000224","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304101","6.1.4","10.6","","","","1"
"2012","Quebec","2016A000224","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304102","6.2.1","337.9","","","","1"
"2012","Quebec","2016A000224","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304103","6.2.2","300.1","","","","1"
"2012","Quebec","2016A000224","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304104","6.2.3","93.0","","","","1"
"2012","Quebec","2016A000224","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304105","6.2.4","11.2","","","","1"
"2012","Quebec","2016A000224","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304106","6.3.1","9301.3","","","","1"
"2012","Quebec","2016A000224","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304107","6.3.2","8183.5","","","","1"
"2012","Quebec","2016A000224","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304108","6.3.3","4063.2","","","","1"
"2012","Quebec","2016A000224","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304109","6.3.4","12.0","","","","1"
"2012","Ontario","2016A000235","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304110","7.1.1","3611.7","","","","1"
